tipo,archivo,carpeta,tamano_kb,cot_extraido,motivo,sugerencia
APU,BIMBAU_LSuministro_CARP METALICA.xlsx,2026-290 - CARPINTERIA METALICA VIVA CLARO CONCONCRETO,66,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,omirrrrrrrrrrrrrrrrrrrrrrr.xlsx,2026-292A - 2 SUPERFICIES y DEMAS MUEBLES WPP CAMILO - LE BRUNCH - MANUEL DE LA NUEZ,2711,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,3. Formulario de actividades-DURATA SAS.xlsx,2026-302 MATERA VORTEX,68,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,Cantidades Central Ganadera.xlsx,2026-313 - DINPRO CENTRAL GANADERA,6937,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,Cantidades REDES.xlsx,2026-313 - DINPRO CENTRAL GANADERA,6934,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,CGA-Cuadro de Cantidades Edificio de Sacrificio Central Ganadera SOLICITUD DURATA.xlsx,2026-314 - IDEAS ATIR CENTRAL GANADERA,470,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,Anexo No. 22 Cantidades de Obra-ACERO INOX v2.xlsx,2026-375 - ELEMENTOS METALICOS MARMATO CALDAS - IDEAS ATIR - GREGORY ALEXANDER PEREZ GALICIA,886,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,(COT DARIO) VALORES UNITARIOS PERSIANAS 315 DURATA.xlsx,2026-428 - FACHADA Y TECHO CASETAS - AOP - JUAN ESTEBAN,11,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,SOLICITUD DE COTIZACION DURATA COTIZACION 159B.xlsx,laboratorio de diseño-labmaster 27 de marzo,329,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,COTIZACION ACERO INOXIDABLE COCINA.xlsx,2026-444 - VARIOS COCINA INOXIDABLE CHAMBACU CORREO CLIENTE - CONSORCIO JARDÍN MH 2024 - DANIELA PAZMIÑO,34,,No se pudo extraer número COT del nombre de archivo,"Renombrar archivo incluyendo formato ""2026-XXX"" (ej: ""2026-443 ..."")"
APU,2026-313.xlsx,APU JUAN PABLO,11458,2026-313,>10MB,Reducir tamaño o subir manualmente
APU,2026-314.xlsx,APU JUAN PABLO,11442,2026-314,>10MB,Reducir tamaño o subir manualmente
APU,2026-276.xlsx,APU SEBASTIAN,10652,2026-276,>10MB,Reducir tamaño o subir manualmente
APU,2026-304.xlsx,APU SEBASTIAN,13255,2026-304,>10MB,Reducir tamaño o subir manualmente
PDF,COTIZACION 2025-1031A ESCUDOS INOXIDABLES-SAN NICOLAS-MYT-MARISOL HERRERA.pdf,COTIZACIONES 2026,581,2025-1031A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
PDF,COTIZACION 2025-1246A VIDRIOS TEMPLADO - MUROS Y TECHOS - SAN NICOLAS - MARISOL HERRERA.pdf,COTIZACIONES 2026,570,2025-1246A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
PDF,COTIZACION 2025-1283A BASURERA 2 PERF + RECIPIENTES INOXIDABLE - CEH SAS - HPTU - MONICA BASTO.pdf,COTIZACIONES 2026,587,2025-1283A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
PDF,COTIZACION 2025-1288B ENCHAPE INOXIDABLE ACCESO-VALENTINA GOMEZ.pdf,COTIZACIONES 2026,593,2025-1288B,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
PDF,COTIZACION 2025-1311A COLUMNAS GASES INOXIDABLE - UAM - CLINICA VETERINARIA DE PEQUEÑAS ESPECIES.pdf,COTIZACIONES 2026,274,2025-1311A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
PDF,COTIZACION 2025-1337A LAVAMANOS ESFERICO-JUAN JOSE BLANCO.pdf,COTIZACIONES 2026,591,2025-1337A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
PDF,COTIZACION 2025-965A PULIDO BOLILLO DE PASAMANOS - MUROS Y TECHOS - SAN NICOLAS - MARISOL HERRERA.pdf,COTIZACIONES 2026,567,2025-965A,COT es de 2025 (no 2026),Mover a carpeta de su año correspondiente o agregar al historial
PDF,COTIZACION 2026-318 SOPORTE AIRE NEUROMEDICA-GRUPO LCA-LUIS CARLOS ARANGO.pdf,COTIZACIONES 2026,279,2026-318,COT 2026-318 no existe. Base 2026-318 tiene: 2026-318A,Revisar si el COT correcto es uno de: 2026-318A
PDF,COTIZACION 2026-472 FLORX1 MODULO INOX 430 CON VAIVEN-ENTORNO AZUL-FELIPE OSPINA.pdf,COTIZACIONES 2026,302,2026-472,COT 2026-472 no existe en BD (ni con otras letras),Agregar cotización al CRM o verificar numeración
PDF,COTIZACION 2026-473 PASAMANOS ETAPA 6 Y ESCALAS METALICAS CCIAL SAN NICOLAS-MYT-MARISOL HERRERA.pdf,COTIZACIONES 2026,316,2026-473,COT 2026-473 no existe en BD (ni con otras letras),Agregar cotización al CRM o verificar numeración
PDF,COTIZACION 2026-474 CAMPANA DE EXTRACCION DE GASES-CSI-JANDY JAVIER.pdf,COTIZACIONES 2026,307,2026-474,COT 2026-474 no existe en BD (ni con otras letras),Agregar cotización al CRM o verificar numeración
